,City,Lat,Lng,Temp,Humidity,Cloudiness,Wind,Country,Date
83,lethem,3.3803,-59.7968,91.49,41,100,10.8,GY,1612639864
84,torbay,47.6666,-52.7314,34.0,93,90,17.27,CA,1612639939
85,severo-kurilsk,50.6789,156.125,20.79,94,100,15.23,RU,1612639939
86,university place,47.2356,-122.5504,45.0,87,90,19.57,US,1612639939
87,ostrovnoy,68.0531,39.5131,10.33,93,100,9.89,RU,1612639663
88,nouadhibou,20.931,-17.0347,66.2,59,0,18.41,MR,1612639939
89,bredasdorp,-34.5322,20.0403,68.0,77,100,4.61,ZA,1612639939
90,coquimbo,-29.9533,-71.3436,68.0,64,20,13.8,CL,1612639687
91,preobrazheniye,42.9019,133.9064,16.47,88,76,9.01,RU,1612639939
92,atuona,-9.8,-139.0333,80.13,78,100,23.31,PF,1612639940
93,xichang,27.8964,102.2634,42.91,62,0,0.67,CN,1612639940
94,seoul,37.5683,126.9778,44.6,93,75,3.44,KR,1612639940
95,halifax,44.6453,-63.5724,45.0,57,2,25.32,CA,1612639789
96,menongue,-14.6585,17.691,68.67,81,100,3.2,AO,1612639940
97,punta arenas,-53.15,-70.9167,53.6,54,40,10.36,CL,1612639913
98,boulsa,12.6675,-0.5758,83.26,18,100,8.28,BF,1612639940
99,lamu,-2.2717,40.902,78.8,83,20,5.75,KE,1612639941
100,hithadhoo,-0.6,73.0833,81.43,77,78,14.29,MV,1612639880
101,barrow,71.2906,-156.7887,-0.4,71,90,8.05,US,1612639892
102,san juan,-31.5375,-68.5364,95.7,18,0,7.31,AR,1612639941
103,mehamn,71.0357,27.8492,25.93,94,100,20.13,NO,1612639941
104,freeport,40.6576,-73.5832,44.6,33,20,16.11,US,1612639720
105,mackay,-21.15,149.2,75.2,94,100,7.45,AU,1612639941
106,puerto ayora,-0.7393,-90.3518,82.4,69,75,20.71,EC,1612639941
107,butaritari,3.0707,172.7902,81.12,81,99,21.68,KI,1612639941
108,kjollefjord,70.9457,27.3465,26.35,94,100,20.6,NO,1612639941
109,labuhan,-6.8844,112.2051,77.83,86,0,10.09,ID,1612639745
110,codrington,-38.2667,141.9667,57.92,79,98,14.12,AU,1612639757
111,khatanga,71.9667,102.5,-36.36,78,0,6.96,RU,1612639942
112,khasan,42.4308,130.6434,17.28,92,16,10.74,RU,1612639705
113,finnsnes,69.2296,17.9811,19.4,86,75,10.36,NO,1612639942
114,galveston,29.3669,-94.9669,66.0,72,90,8.05,US,1612639942
115,paamiut,61.994,-49.6678,21.99,82,0,8.12,GL,1612639942
116,mar del plata,-38.0023,-57.5575,69.8,64,75,16.11,AR,1612639782
117,jamestown,42.097,-79.2353,21.99,53,1,23.02,US,1612639800
118,rawson,-43.3002,-65.1023,62.53,63,100,25.66,AR,1612639846
119,tretten,61.3142,10.3007,5.0,89,0,1.01,NO,1612639943
120,namibe,-15.1961,12.1522,71.89,78,37,9.69,AO,1612639943
121,brae,60.3964,-1.353,33.8,55,90,18.41,GB,1612639943
122,saskylakh,71.9167,114.0833,-34.82,81,96,7.02,RU,1612639943
123,le moule,16.3332,-61.3473,78.8,78,75,5.75,GP,1612639943
124,ahipara,-35.1667,173.1667,59.83,86,98,5.21,NZ,1612639744
125,havelock,34.8791,-76.9013,51.01,57,75,6.91,US,1612639943
126,taoudenni,22.6783,-3.9836,67.46,25,17,11.63,ML,1612639944
127,lorengau,-2.0226,147.2712,81.81,76,96,3.94,PG,1612639944
128,egvekinot,66.3167,-179.1667,-8.39,77,14,8.34,RU,1612639944
129,tilichiki,60.4667,166.1,5.99,89,100,14.0,RU,1612639663
130,necochea,-38.5473,-58.7368,69.91,61,0,14.92,AR,1612639944
131,sola,-13.8833,167.55,75.2,100,20,5.3,VU,1612639944
132,creel,27.75,-107.6333,61.41,27,0,12.15,MX,1612639944
133,los llanos de aridane,28.6585,-17.9182,64.4,63,20,10.36,ES,1612639944
134,soure,-0.7167,-48.5233,82.0,81,31,11.92,BR,1612639944
135,gaomi,36.3833,119.7528,44.01,64,0,2.24,CN,1612639945
136,chapais,49.7834,-74.8492,17.6,62,90,14.97,CA,1612639945
137,yasnyy,51.0333,59.8742,5.52,93,100,25.66,RU,1612639945
138,yatou,37.15,122.3833,35.98,81,48,17.0,CN,1612639945
139,victoria,22.2855,114.1577,66.0,69,0,3.53,HK,1612639935
140,saint george,37.1041,-113.5841,55.99,32,1,1.43,US,1612639808
141,aksu,41.1231,80.2644,26.01,87,0,2.98,CN,1612639945
142,luderitz,-26.6481,15.1594,72.37,53,0,27.34,NA,1612639646
143,kiruna,67.8557,20.2251,19.4,79,90,5.75,SE,1612639945
144,nikolsk,53.7189,46.0712,-1.28,91,100,11.99,RU,1612639945
145,henties bay,-22.116,14.2845,64.0,88,2,3.0,NA,1612639945
146,lasa,46.6166,10.7002,39.99,93,75,6.91,IT,1612639695
147,almaznyy,48.0448,40.045,21.2,79,0,6.71,RU,1612639946
148,carnarvon,-24.8667,113.6333,80.6,100,40,11.5,AU,1612639946
149,kruisfontein,-34.0033,24.7314,69.01,85,0,1.01,ZA,1612639946
150,kautokeino,69.0125,23.0412,14.0,94,97,6.98,NO,1612639946
151,kutum,14.2,24.6667,54.41,37,0,10.56,SD,1612639946
152,puerto baquerizo moreno,-0.9,-89.6,82.4,83,75,11.5,EC,1612639943
153,hobart,-42.8794,147.3294,59.0,77,75,2.3,AU,1612639946
154,hilo,19.7297,-155.09,73.0,53,1,3.44,US,1612639947
155,dunedin,-45.8742,170.5036,57.99,83,2,5.01,NZ,1612639946
156,cidreira,-30.1811,-50.2056,76.62,64,6,8.19,BR,1612639947
157,varhaug,58.6147,5.6457,23.0,50,0,8.05,NO,1612639947
158,cabo san lucas,22.8909,-109.9124,75.99,53,1,11.5,MX,1612639928
159,esperance,-33.8667,121.9,59.0,88,90,10.36,AU,1612639947
160,kavieng,-2.5744,150.7967,81.57,71,67,2.35,PG,1612639947
161,padang,-0.9492,100.3543,73.4,88,40,2.3,ID,1612639947
162,tautira,-17.7333,-149.15,77.0,78,75,12.66,PF,1612639947
163,majene,-3.5403,118.9707,77.56,86,100,3.42,ID,1612639947
164,masallatah,32.6167,14.0,67.96,27,69,15.23,LY,1612639948
165,olafsvik,64.8945,-23.7142,35.4,80,76,15.5,IS,1612639948
166,katsuura,35.1333,140.3,42.8,65,0,4.61,JP,1612639948
167,avarua,-21.2078,-159.775,84.2,74,20,10.36,CK,1612639948
168,camabatela,-8.1881,15.375,65.14,98,98,3.22,AO,1612639948
169,benguela,-12.5763,13.4055,74.32,82,39,5.01,AO,1612639948
170,wuxue,29.8506,115.5525,51.04,78,65,1.28,CN,1612639680
171,vilhena,-12.7406,-60.1458,80.6,74,40,2.3,BR,1612639948
172,sibolga,1.7427,98.7792,75.72,82,49,4.27,ID,1612639948
173,salalah,17.0151,54.0924,75.2,69,40,8.05,OM,1612639948
174,meulaboh,4.1363,96.1285,77.36,87,82,3.24,ID,1612639682
175,tyrma,50.0833,132.1667,-10.98,88,100,1.48,RU,1612639949
176,dioknisi,41.6293,42.3917,55.4,62,20,8.05,GE,1612639949
177,manyana,-23.4,21.7167,69.51,86,17,7.85,BW,1612639949
178,mount gambier,-37.8333,140.7667,55.4,88,90,11.5,AU,1612639949
179,nauta,-4.5061,-73.5757,87.42,67,35,4.21,PE,1612639949
180,saquarema,-22.92,-42.5103,71.6,94,90,5.75,BR,1612639949
181,mahebourg,-20.4081,57.7,78.8,83,20,3.44,MU,1612639949
182,simdega,22.6167,84.5167,54.39,80,1,5.66,IN,1612639949
183,ruston,32.5232,-92.6379,46.4,87,90,6.91,US,1612639950
184,huaihua,27.5494,109.9592,49.59,90,18,1.14,CN,1612639950
185,broken hill,-31.95,141.4333,62.6,67,19,14.97,AU,1612639702
186,ucluelet,48.9329,-125.5528,46.99,87,75,19.57,CA,1612639950
187,abonnema,4.7084,6.7931,87.8,66,0,6.91,NG,1612639950
188,bodden town,19.2833,-81.25,86.0,70,40,14.97,KY,1612639951
189,westport,41.1415,-73.3579,44.6,39,20,12.66,US,1612639951
190,yaan,7.3833,8.5667,83.21,15,0,4.61,NG,1612639951
191,muros,42.7762,-9.0603,48.0,79,61,1.01,ES,1612639951
192,olkhovatka,50.2831,39.2872,14.25,87,100,14.29,RU,1612639951
193,indramayu,-6.3264,108.32,78.55,85,100,11.03,ID,1612639699
194,kapaa,22.0752,-159.319,66.99,68,1,6.91,US,1612639951
195,coahuayana,18.7333,-103.6833,77.0,57,1,7.25,MX,1612639952
196,port hawkesbury,45.6169,-61.3485,45.0,61,75,16.11,CA,1612639952
197,new deer,57.5123,-2.1884,35.6,69,90,14.97,GB,1612639953
198,mwense,-10.3845,28.698,69.4,92,100,4.09,ZM,1612639953
199,nizwa,22.9333,57.5333,53.96,59,0,2.93,OM,1612639953
200,shimoda,34.6667,138.95,48.97,55,0,9.93,JP,1612639954
201,baykit,61.67,96.37,9.01,92,100,5.41,RU,1612639954
202,ponta do sol,32.6667,-17.1,55.0,65,13,3.0,PT,1612639954
203,margate,51.3813,1.3862,43.0,90,100,4.0,GB,1612639954
204,mount pleasant,32.7941,-79.8626,51.01,81,90,12.48,US,1612639747
205,evensk,61.95,159.2333,9.97,88,93,19.37,RU,1612639954
206,atbasar,51.8,68.3333,33.44,96,100,25.79,KZ,1612639954
207,stokmarknes,68.5646,14.9108,28.0,69,64,15.26,NO,1612639954
208,tatarsk,55.219,75.9828,30.69,98,100,18.21,RU,1612639954
209,magaria,12.9983,8.9099,72.46,19,78,9.46,NE,1612639955
210,saldanha,-33.0117,17.9442,68.0,77,39,12.66,ZA,1612639955
211,christchurch,-43.5333,172.6333,61.0,82,75,6.91,NZ,1612639955
212,zhigansk,66.7697,123.3711,-40.54,80,93,11.23,RU,1612639955
213,casablanca,33.5928,-7.6192,51.8,82,20,10.36,MA,1612639784
214,port hedland,-20.3167,118.5667,77.0,88,40,5.75,AU,1612639765
215,sisimiut,66.9395,-53.6735,20.95,76,0,12.59,GL,1612639955
216,bathsheba,13.2167,-59.5167,84.2,54,20,18.41,BB,1612639770
217,pimentel,-6.8367,-79.9342,80.6,54,90,16.11,PE,1612639714
218,rafaela,-31.2503,-61.4867,91.0,24,0,1.99,AR,1612639843
219,belyy yar,53.6039,91.3903,12.2,85,100,2.24,RU,1612639956
220,tacna,-18.0056,-70.2483,78.8,50,0,14.97,PE,1612639895
221,cuenca,-2.8833,-78.9833,73.4,40,75,8.05,EC,1612639956
222,raudeberg,61.9875,5.1352,23.0,63,0,5.75,NO,1612639956
223,guerrero negro,27.9769,-114.0611,69.37,39,16,4.54,MX,1612639687
224,swan river,52.1058,-101.2676,-18.4,57,30,11.5,CA,1612639956
225,faanui,-16.4833,-151.75,81.64,69,1,10.38,PF,1612639956
226,makakilo city,21.3469,-158.0858,73.4,56,75,0.11,US,1612639869
227,lerwick,60.1545,-1.1494,33.8,55,90,18.41,GB,1612639957
228,qaanaaq,77.484,-69.3632,12.56,87,100,8.66,GL,1612639700
229,cancun,21.1743,-86.8466,84.2,70,40,17.27,MX,1612639724
230,kokopo,-4.352,152.2633,75.88,83,1,4.81,PG,1612639811
231,la reforma,25.0833,-108.05,77.0,48,0,4.0,MX,1612639957
232,rosarito,32.3333,-117.0333,70.0,40,1,8.05,MX,1612639957
233,pochutla,15.7432,-96.4661,82.4,65,75,17.27,MX,1612639957
234,grenada,37.1882,-3.6067,50.0,76,40,9.22,ES,1612639957
235,domoni,-12.2569,44.5319,80.92,72,99,4.18,KM,1612639957
236,vila franca do campo,37.7167,-25.4333,60.01,94,75,13.8,PT,1612639957
237,cayenne,4.9333,-52.3333,78.8,94,90,8.05,GF,1612639743
238,tyukhtet,56.5389,89.3011,26.56,97,100,8.5,RU,1612639958
239,isangel,-19.55,169.2667,75.2,94,20,1.5,VU,1612639958
240,cozumel,20.5083,-86.9458,86.0,70,40,9.22,MX,1612639784
241,quatre cocos,-20.2078,57.7625,80.01,83,20,3.44,MU,1612639958
242,at-bashi,41.1702,75.8106,22.89,79,100,1.63,KG,1612639958
243,victor harbor,-35.5667,138.6167,60.01,99,52,1.01,AU,1612639958
244,yagodnoye,62.55,149.6667,-25.29,82,80,2.1,RU,1612639958
245,dingle,10.9995,122.6711,74.34,92,39,7.16,PH,1612639959
246,kaitangata,-46.2817,169.8464,56.37,80,2,3.4,NZ,1612639855
247,pirgos,35.1167,25.7178,55.99,84,0,4.47,GR,1612639959
248,vinh yen,21.31,105.5967,62.6,88,0,3.44,VN,1612639959
249,bozhou,33.8772,115.7703,46.9,57,0,6.17,CN,1612639959
250,aklavik,68.2191,-135.0107,-29.2,75,75,2.3,CA,1612639959
251,lembang,-6.8117,107.6175,61.9,100,100,1.86,ID,1612639959
252,broome,42.2506,-75.833,30.2,31,1,17.27,US,1612639960
253,salina cruz,16.1667,-95.2,80.62,74,71,15.5,MX,1612639960
254,alpena,45.0617,-83.4327,18.0,53,90,14.97,US,1612639960
255,elin pelin,42.6667,23.6,50.0,81,100,4.61,BG,1612639960
256,manokwari,-0.8667,134.0833,77.94,84,100,6.49,ID,1612639960
257,puerto penasco,31.3167,-113.5333,64.0,65,0,7.0,MX,1612639960
258,portland,45.5234,-122.6762,45.0,83,100,13.44,US,1612639753
259,giddalur,15.35,78.9167,64.72,69,29,1.99,IN,1612639961
260,emba,48.8264,58.1442,13.91,95,100,16.08,KZ,1612639961
261,kankan,10.3854,-9.3057,82.35,16,100,3.18,GN,1612639961
262,bourail,-21.5667,165.4833,76.17,83,0,1.72,NC,1612639961
263,evansville,37.9748,-87.5558,37.99,48,1,6.24,US,1612639781
264,hirado,33.3597,129.5531,46.0,93,6,4.0,JP,1612639961
265,enshi,30.3,109.4833,52.02,76,99,2.28,CN,1612639785
266,fortuna,40.5982,-124.1573,52.0,93,40,8.59,US,1612639961
267,anadyr,64.75,177.4833,-9.0,84,0,8.95,RU,1612639694
268,beyneu,45.3167,55.2,29.17,85,68,12.37,KZ,1612639962
269,khonsa,27.0167,95.5667,50.7,84,14,3.65,IN,1612639962
270,manaquiri,-3.3167,-60.35,78.8,89,75,10.36,BR,1612639962
271,ariquemes,-9.9133,-63.0408,81.54,85,63,1.61,BR,1612639962
272,ketchikan,55.3422,-131.6461,35.6,100,90,4.63,US,1612639962
273,san policarpo,12.1791,125.5072,79.7,85,86,16.28,PH,1612639720
274,wentzville,38.8114,-90.8529,28.0,58,100,1.01,US,1612639962
275,pisco,-13.7,-76.2167,73.4,83,75,10.36,PE,1612639962
276,ribeira grande,38.5167,-28.7,60.8,88,75,21.85,PT,1612639676
277,prince george,53.9166,-122.753,9.0,78,40,10.36,CA,1612639724
278,marathon,44.9,-89.7668,3.0,60,1,14.97,US,1612639963
279,medea,36.2642,2.7539,60.8,72,40,4.61,DZ,1612639963
280,kharakvasla,18.4333,73.7667,67.01,31,0,4.16,IN,1612639963
281,comodoro rivadavia,-45.8667,-67.5,59.0,72,90,17.27,AR,1612639963
282,meadow lake,34.8014,-106.5436,53.01,23,1,10.36,US,1612639807
283,ukiah,39.1502,-123.2078,63.0,54,1,3.44,US,1612639963
284,grindavik,63.8424,-22.4338,35.6,64,40,18.41,IS,1612639963
285,bosaso,11.2842,49.1816,73.76,77,8,1.3,SO,1612639869
286,ossora,59.2353,163.0719,19.6,96,100,29.51,RU,1612639964
287,haines junction,60.7522,-137.5108,-22.0,63,98,0.6,CA,1612639964
288,yueyang,29.3333,113.0919,52.32,76,38,3.94,CN,1612639964
289,talnakh,69.4865,88.3972,-29.0,74,0,3.0,RU,1612639964
290,niksar,40.5917,36.9517,47.64,53,5,7.58,TR,1612639964
291,americus,32.0724,-84.2327,44.6,87,90,8.05,US,1612639681
292,nkoteng,4.5167,12.0333,76.86,27,0,2.86,CM,1612639964
293,nanortalik,60.1432,-45.2371,21.79,79,0,4.81,GL,1612639964
294,port lincoln,-34.7333,135.8667,60.87,75,71,11.14,AU,1612639964
295,destin,30.3935,-86.4958,53.6,76,90,9.22,US,1612639761
296,nanning,22.8167,108.3167,59.0,88,0,2.24,CN,1612639965
297,taltal,-25.4,-70.4833,69.64,58,22,5.59,CL,1612639965
298,turukhansk,65.8167,87.9833,-3.93,92,100,15.64,RU,1612639965
299,grand gaube,-20.0064,57.6608,80.01,80,0,5.01,MU,1612639965
300,luau,-10.7073,22.2247,67.42,97,100,5.01,AO,1612639965
301,akyab,20.15,92.9,63.59,66,0,7.7,MM,1612639965
302,sechura,-5.5569,-80.8222,82.6,54,17,15.17,PE,1612639946
303,gazojak,41.1875,61.4036,43.48,59,87,4.34,TM,1612639966
304,bambous virieux,-20.3428,57.7575,80.01,83,20,3.44,MU,1612639966
305,manaure,11.7751,-72.4445,87.62,45,98,21.5,CO,1612639966
306,miami lakes,25.9087,-80.3087,73.4,94,90,11.5,US,1612639966
307,burnie,-41.0667,145.9167,61.0,85,93,5.01,AU,1612639697
308,norman wells,65.282,-126.8329,-31.0,68,75,6.91,CA,1612639966
309,nikolayevsk-na-amure,53.1406,140.73,-6.2,88,100,6.71,RU,1612639966
310,ryazan,54.6197,39.74,-3.5,91,94,8.97,RU,1612639955
311,itarana,-19.8739,-40.8753,78.01,68,100,4.41,BR,1612639967
312,mizdah,31.4451,12.9801,66.78,25,99,8.28,LY,1612639967
313,linxia,35.6003,103.2064,30.02,71,100,1.16,CN,1612639967
314,mweka,-4.85,21.5667,70.27,89,30,0.92,CD,1612639967
315,arraial do cabo,-22.9661,-42.0278,71.6,94,90,14.97,BR,1612639967
316,sokoto,13.0609,5.239,78.26,17,62,9.42,NG,1612639967
317,la cruz,23.9167,-106.9,73.49,59,1,9.62,MX,1612639967
318,patitirion,39.15,23.8667,60.01,51,0,3.0,GR,1612639968
319,souillac,-20.5167,57.5167,78.8,83,20,3.44,MU,1612639968
320,laja,-37.2667,-72.7,66.2,72,90,6.91,CL,1612639968
321,kahului,20.8947,-156.47,71.01,68,20,3.36,US,1612639712
322,burgersdorp,-30.9977,26.3286,70.83,59,45,15.1,ZA,1612639968
323,shujalpur,23.4,76.7167,53.6,71,0,4.61,IN,1612639968
324,bontang,0.1333,117.5,77.29,84,100,5.48,ID,1612639968
325,amapa,1.0,-52.0,78.39,93,100,4.63,BR,1612639968
326,kapiri mposhi,-13.9652,28.6809,65.64,97,99,4.25,ZM,1612639968
327,sioux lookout,50.1001,-91.917,-13.0,58,90,14.97,CA,1612639752
328,noumea,-22.2763,166.4572,77.0,94,90,1.14,NC,1612639969
329,hervey bay,-25.2986,152.8535,73.0,84,11,3.71,AU,1612639969
330,chuy,-33.6971,-53.4616,81.81,52,0,8.08,UY,1612639969
331,clyde river,70.4692,-68.5914,-14.8,76,40,3.31,CA,1612639969
332,oranjemund,-28.55,16.4333,65.14,90,6,13.58,NA,1612639969
333,sundumbili,-29.1337,31.3975,77.0,78,75,10.36,ZA,1612639969
334,alofi,-19.0595,-169.9187,78.8,94,100,6.91,NU,1612639969
335,gizo,-8.103,156.8419,82.99,74,100,10.07,SB,1612639969
336,riyadh,24.6877,46.7219,62.6,59,40,6.91,SA,1612639691
337,naron,43.5167,-8.1528,48.0,76,20,1.14,ES,1612639969
338,kyren,51.6828,102.1408,7.11,80,90,2.15,RU,1612639878
339,havoysund,70.9963,24.6622,26.6,59,75,16.11,NO,1612639970
340,sokolka,53.4072,23.5023,3.99,84,7,4.43,PL,1612639970
341,tupa,-21.9347,-50.5136,80.64,53,0,8.84,BR,1612639970
342,hays,30.0502,-98.0336,73.99,29,0,1.99,US,1612639970
343,flin flon,54.7682,-101.865,-25.6,62,1,11.5,CA,1612639970
344,dikson,73.5069,80.5464,-29.43,86,86,10.78,RU,1612639970
345,oussouye,12.485,-16.5469,77.0,57,0,9.22,SN,1612639970
346,huangzhou,30.45,114.8,46.4,100,67,4.68,CN,1612639970
347,pokaran,26.9167,71.9167,59.07,32,0,6.42,IN,1612639971
348,mogadishu,2.0371,45.3438,77.04,78,0,19.75,SO,1612639971
349,curup,-3.4667,102.5333,66.94,88,100,3.06,ID,1612639971
350,lompoc,34.6391,-120.4579,66.2,42,1,3.2,US,1612639747
351,panguna,-6.3164,155.4848,68.88,96,39,1.03,PG,1612639971
352,harindanga,22.0383,88.3214,68.0,60,40,6.91,IN,1612639971
353,te anau,-45.4167,167.7167,56.59,74,10,1.21,NZ,1612639971
354,katangli,51.7102,143.2326,-3.39,92,100,7.31,RU,1612639971
355,cherskiy,68.75,161.3,-8.23,81,0,5.75,RU,1612639971
356,vostok,46.4856,135.8833,-13.65,90,100,2.35,RU,1612639971
357,eyl,7.9803,49.8164,75.78,80,18,13.2,SO,1612639972
358,fagersta,60.0042,15.7932,21.2,86,90,5.75,SE,1612639972
359,ilulissat,69.2167,-51.1,21.2,45,40,23.02,GL,1612639972
360,camacha,33.0833,-16.3333,59.0,63,75,17.27,PT,1612639914
361,chernyshevskiy,63.0128,112.4714,-31.22,86,55,1.86,RU,1612639972
362,vestmannaeyjar,63.4427,-20.2734,37.4,75,20,28.77,IS,1612639972
363,koygorodok,60.445,50.9968,-6.97,90,100,9.64,RU,1612639972
364,touros,-5.1989,-35.4608,87.8,51,40,11.5,BR,1612639972
365,hare bay,48.8499,-54.0148,32.0,100,90,20.71,CA,1612639973
366,saint-francois,46.4154,3.9054,48.0,100,0,5.75,FR,1612639973
367,hvide sande,56.0045,8.1294,21.99,79,10,7.0,DK,1612639973
368,geraldton,-28.7667,114.6,69.8,94,75,20.71,AU,1612639973
369,kaeo,-35.1,173.7833,61.0,92,100,1.99,NZ,1612639859
